timestamp,variant_id,data_source,source_file,host,source_type,event_type,severity,process,user,is_attack,attack_stage,connection_id,connection_state,custom_tests_login_injections,custom_tests_search_injections,custom_tests_time_based_injections,custom_tests_union_injections,data_extraction_file_saved,data_extraction_method,data_extraction_payload,data_extraction_response_length,data_extraction_status_code,data_extraction_success,data_extraction_timestamp,details_action,details_attempt,details_ip,details_message,details_method,details_network_quintuple_connection_id,details_network_quintuple_connection_state,details_network_quintuple_dst_ip,details_network_quintuple_dst_port,details_network_quintuple_protocol,details_network_quintuple_session_duration,details_network_quintuple_src_ip,details_network_quintuple_src_port,details_path,details_raw,details_referer,details_search_term,details_service,details_size,details_source_ip,details_status,details_timestamp_note,details_user_agent,dst_ip,dst_port,length,network_quintuple_connection_id,network_quintuple_connection_state,network_quintuple_dst_ip,network_quintuple_dst_port,network_quintuple_protocol,network_quintuple_session_duration,network_quintuple_src_ip,network_quintuple_src_port,packet_index,payload_content_preview,payload_has_sql_keywords,payload_is_encrypted,payload_payload_size,payload_payload_type,payload_sql_keywords_found,protocol,raw_data_raw_ascii,raw_data_raw_hex,session_duration,src_ip,src_port
2025-07-22T11:43:10.452440Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  libhcrypto4-heimdal libheimbase1-heimdal libheimntlm0-heimdal,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452450Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  libhx509-5-heimdal libisl22 libitm1 libk5crypto3 libkeyutils1,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452461Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  libkrb5-26-heimdal libkrb5-3 libkrb5support0 libksba8 libldap-2.4-2,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452472Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  libldap-common liblocale-gettext-perl liblsan0 libmagic-mgc libmagic1,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452482Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  libmpc3 libmpdec2 libmpfr6 libnghttp2-14 libnpth0 libperl5.30 libpsl5,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452523Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  libpython3-dev libpython3-stdlib libpython3.8 libpython3.8-dev,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452536Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  libpython3.8-minimal libpython3.8-stdlib libreadline8 libroken18-heimdal,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452547Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  librtmp1 libsasl2-2 libsasl2-modules libsasl2-modules-db libsqlite3-0,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452558Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  libssh-4 libssl1.1 libstdc++-9-dev libtsan0 libubsan1 libwind0-heimdal,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22T11:43:10.452568Z,lowscan_aggressive,container_logs,securitylogs-log-aggregator.jsonl,linux1,container,,info,securitylogs-log-aggregator,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  linux-libc-dev make manpages manpages-dev mime-support netbase openssl patch,,,,,,,Default timestamp applied - original log had no timestamp,,,,,,,,,,,,,,,,,,,,,,,,,
